TabID,Provenience
P100397,Umma (mod. Tell Jokha)
P100398,Umma (mod. Tell Jokha)
P100399,Umma (mod. Tell Jokha)
P100400,Umma (mod. Tell Jokha)
P100401,Umma (mod. Tell Jokha)
P100402,Umma (mod. Tell Jokha)
P100403,Umma (mod. Tell Jokha)
P100404,Umma (mod. Tell Jokha)
P100405,Umma (mod. Tell Jokha)
P100406,Umma (mod. Tell Jokha)
P100407,Umma (mod. Tell Jokha)
P100408,Umma (mod. Tell Jokha)
P100409,Umma (mod. Tell Jokha)
P100410,Umma (mod. Tell Jokha)
P100411,Umma (mod. Tell Jokha)
P100412,Umma (mod. Tell Jokha)
P100413,Umma (mod. Tell Jokha)
P100414,Umma (mod. Tell Jokha)
P100415,Umma (mod. Tell Jokha)
P100416,Umma (mod. Tell Jokha)
P100417,Umma (mod. Tell Jokha)
P100418,Umma (mod. Tell Jokha)
P100419,Umma (mod. Tell Jokha)
P100420,Umma (mod. Tell Jokha)
P100421,Umma (mod. Tell Jokha)
P100422,Umma (mod. Tell Jokha)
P100423,Umma (mod. Tell Jokha)
P100424,Umma (mod. Tell Jokha)
P100425,Umma (mod. Tell Jokha)
P100426,Umma (mod. Tell Jokha)
P100427,Umma (mod. Tell Jokha)
P100428,Umma (mod. Tell Jokha)
P100429,Umma (mod. Tell Jokha)
P100430,Umma (mod. Tell Jokha)
P100431,Umma (mod. Tell Jokha)
P100432,Umma (mod. Tell Jokha)
P100433,Umma (mod. Tell Jokha)
P100434,Umma (mod. Tell Jokha)
P100435,Umma (mod. Tell Jokha)
P100436,Umma (mod. Tell Jokha)
P100437,Umma (mod. Tell Jokha)
P100438,Umma (mod. Tell Jokha)
P100439,Umma (mod. Tell Jokha)
P100440,Umma (mod. Tell Jokha)
P100441,Umma (mod. Tell Jokha)
P100442,Umma (mod. Tell Jokha)
P100443,Umma (mod. Tell Jokha)
P100444,Umma (mod. Tell Jokha)
P100445,Umma (mod. Tell Jokha)
P100446,Umma (mod. Tell Jokha)
P100447,Umma (mod. Tell Jokha)
P100448,Umma (mod. Tell Jokha)
P100449,Umma (mod. Tell Jokha)
P100450,Umma (mod. Tell Jokha)
P100451,Umma (mod. Tell Jokha)
P100452,Umma (mod. Tell Jokha)
P100453,Umma (mod. Tell Jokha)
P100454,Umma (mod. Tell Jokha)
P100455,Umma (mod. Tell Jokha)
P100456,Umma (mod. Tell Jokha)
P100457,Umma (mod. Tell Jokha)
P100458,Umma (mod. Tell Jokha)
P100459,Umma (mod. Tell Jokha)
P100460,Umma (mod. Tell Jokha)
P100461,Umma (mod. Tell Jokha)
P100462,Umma (mod. Tell Jokha)
P100463,Umma (mod. Tell Jokha)
P100464,Umma (mod. Tell Jokha)
P100465,Umma (mod. Tell Jokha)
P100466,Umma (mod. Tell Jokha)
P100467,Umma (mod. Tell Jokha)
P100468,Umma (mod. Tell Jokha)
P100469,Umma (mod. Tell Jokha)
P100470,Umma (mod. Tell Jokha)
P100471,Umma (mod. Tell Jokha)
P100472,Umma (mod. Tell Jokha)
P100473,Umma (mod. Tell Jokha)
P100474,Umma (mod. Tell Jokha)
P100475,Umma (mod. Tell Jokha)
P100476,Umma (mod. Tell Jokha)
P100477,Umma (mod. Tell Jokha)
P100478,Umma (mod. Tell Jokha)
P100479,Umma (mod. Tell Jokha)
P100480,Umma (mod. Tell Jokha)
P100481,Umma (mod. Tell Jokha)
P100482,Umma (mod. Tell Jokha)
P100483,Umma (mod. Tell Jokha)
P100484,Umma (mod. Tell Jokha)
P100485,Umma (mod. Tell Jokha)
P100486,Umma (mod. Tell Jokha)
P100487,Umma (mod. Tell Jokha)
P100488,Umma (mod. Tell Jokha)
P100489,Umma (mod. Tell Jokha)
P100490,Umma (mod. Tell Jokha)
P100491,Umma (mod. Tell Jokha)
P100492,Umma (mod. Tell Jokha)
P100493,Umma (mod. Tell Jokha)
P100494,Umma (mod. Tell Jokha)
P100495,Umma (mod. Tell Jokha)
P100496,Umma (mod. Tell Jokha)
P100497,Umma (mod. Tell Jokha)
P100498,Umma (mod. Tell Jokha)
P100499,Umma (mod. Tell Jokha)
P100500,Umma (mod. Tell Jokha)
P100501,Umma (mod. Tell Jokha)
P100502,Umma (mod. Tell Jokha)
P100503,Umma (mod. Tell Jokha)
P100504,Umma (mod. Tell Jokha)
P100505,Umma (mod. Tell Jokha)
P100506,Umma (mod. Tell Jokha)
P100507,Umma (mod. Tell Jokha)
P100508,Umma (mod. Tell Jokha)
P100509,Umma (mod. Tell Jokha)
P100510,Umma (mod. Tell Jokha)
P100511,Umma (mod. Tell Jokha)
P100512,Umma (mod. Tell Jokha)
P100513,Umma (mod. Tell Jokha)
P100514,Umma (mod. Tell Jokha)
P100515,Umma (mod. Tell Jokha)
P100516,Umma (mod. Tell Jokha)
P100517,Umma (mod. Tell Jokha)
P100518,Umma (mod. Tell Jokha)
P100519,Umma (mod. Tell Jokha)
P100520,Umma (mod. Tell Jokha)
P100521,Umma (mod. Tell Jokha)
P100522,Umma (mod. Tell Jokha)
P100523,Umma (mod. Tell Jokha)
P100524,Umma (mod. Tell Jokha)
P100525,Umma (mod. Tell Jokha)
P100526,Umma (mod. Tell Jokha)
P100527,Umma (mod. Tell Jokha)
P100528,Umma (mod. Tell Jokha)
P100529,Umma (mod. Tell Jokha)
P100530,Umma (mod. Tell Jokha)
P100531,Umma (mod. Tell Jokha)
P100532,Umma (mod. Tell Jokha)
P100533,Umma (mod. Tell Jokha)
P100534,Umma (mod. Tell Jokha)
P100535,Umma (mod. Tell Jokha)
P100536,Umma (mod. Tell Jokha)
P100537,uncertain (mod. uncertain)
P100538,Umma (mod. Tell Jokha)
P100539,Umma (mod. Tell Jokha)
P100540,Umma (mod. Tell Jokha)
P100541,Umma (mod. Tell Jokha)
P100542,Umma (mod. Tell Jokha)
P100543,Umma (mod. Tell Jokha)
P100544,Umma (mod. Tell Jokha)
P100545,Umma (mod. Tell Jokha)
P100546,Umma (mod. Tell Jokha)
P100547,Umma (mod. Tell Jokha)
P100548,Umma (mod. Tell Jokha)
P100549,Umma (mod. Tell Jokha)
P100550,Umma (mod. Tell Jokha)
P100551,Umma (mod. Tell Jokha)
P100552,Umma (mod. Tell Jokha)
P100553,Umma (mod. Tell Jokha)
P100554,Umma (mod. Tell Jokha)
P100555,Umma (mod. Tell Jokha)
P100556,Umma (mod. Tell Jokha)
P100557,Umma (mod. Tell Jokha)
P100558,Umma (mod. Tell Jokha)
P100559,Umma (mod. Tell Jokha)
P100560,Umma (mod. Tell Jokha)
P100561,Umma (mod. Tell Jokha)
P100562,Umma (mod. Tell Jokha)
P100563,Umma (mod. Tell Jokha)
P100564,Puzriš-Dagan (mod. Drehem) ?
P100565,Umma (mod. Tell Jokha)
P100566,Umma (mod. Tell Jokha)
P100567,Umma (mod. Tell Jokha)
P100568,Umma (mod. Tell Jokha)
P100569,Umma (mod. Tell Jokha)
P100570,Umma (mod. Tell Jokha)
P100571,Umma (mod. Tell Jokha)
P100572,Umma (mod. Tell Jokha)
P100573,Umma (mod. Tell Jokha)
P100574,Umma (mod. Tell Jokha)
P100575,uncertain (mod. uncertain)
P100576,Umma (mod. Tell Jokha)
P100577,Umma (mod. Tell Jokha)
P100578,Umma (mod. Tell Jokha)
P100579,Umma (mod. Tell Jokha)
P100580,Umma (mod. Tell Jokha)
P100581,Umma (mod. Tell Jokha)
P100582,Umma (mod. Tell Jokha)
P100583,Umma (mod. Tell Jokha)
P100584,Umma (mod. Tell Jokha)
P100585,Umma (mod. Tell Jokha)
P100586,Umma (mod. Tell Jokha)
P100587,Umma (mod. Tell Jokha)
P100588,Umma (mod. Tell Jokha)
P100589,Umma (mod. Tell Jokha)
P100590,Umma (mod. Tell Jokha)
P100591,Puzriš-Dagan (mod. Drehem) ?
P100592,Umma (mod. Tell Jokha)
P100593,Umma (mod. Tell Jokha)
P100594,Umma (mod. Tell Jokha)
P100595,Umma (mod. Tell Jokha)
P100596,Umma (mod. Tell Jokha)
P100597,Umma (mod. Tell Jokha)
P100598,Umma (mod. Tell Jokha)
P100599,Umma (mod. Tell Jokha)
P100600,Umma (mod. Tell Jokha)
P100601,Umma (mod. Tell Jokha)
P100602,Umma (mod. Tell Jokha)
P100603,Umma (mod. Tell Jokha)
P100604,uncertain (mod. uncertain)
P100605,Umma (mod. Tell Jokha)
P100606,Umma (mod. Tell Jokha)
P100607,Umma (mod. Tell Jokha)
P100608,Puzriš-Dagan (mod. Drehem) ?
P100609,Umma (mod. Tell Jokha)
P100610,Umma (mod. Tell Jokha)
P100611,Umma (mod. Tell Jokha)
P100612,Umma (mod. Tell Jokha)
P100613,Umma (mod. Tell Jokha)
P100614,Umma (mod. Tell Jokha)
P100615,Umma (mod. Tell Jokha)
P100616,Puzriš-Dagan (mod. Drehem) ?
P100617,Puzriš-Dagan (mod. Drehem) ?
P100618,Puzriš-Dagan (mod. Drehem) ?
P100619,Girsu (mod. Tello)
P100620,Umma (mod. Tell Jokha)
P100621,Umma (mod. Tell Jokha)
P100622,Umma (mod. Tell Jokha)
P100623,Puzriš-Dagan (mod. Drehem) ?
P100624,Umma (mod. Tell Jokha)
P100625,Umma (mod. Tell Jokha)
P100626,Umma (mod. Tell Jokha)
P100627,Puzriš-Dagan (mod. Drehem) ?
P100628,Puzriš-Dagan (mod. Drehem) ?
P100629,Umma (mod. Tell Jokha)
P100630,Umma (mod. Tell Jokha)
P100631,Umma (mod. Tell Jokha) ?
P100632,Umma (mod. Tell Jokha)
P100633,uncertain (mod. uncertain)
P100634,Umma (mod. Tell Jokha)
P100635,uncertain (mod. uncertain)
