TabID,Provenience
P122269,Nippur (mod. Nuffar)
P122270,Nippur (mod. Nuffar)
P122271,Nippur (mod. Nuffar)
P122272,Nippur (mod. Nuffar)
P122273,Nippur (mod. Nuffar)
P122274,Nippur (mod. Nuffar)
P122275,Nippur (mod. Nuffar)
P122276,Nippur (mod. Nuffar)
P122277,Nippur (mod. Nuffar)
P122278,Nippur (mod. Nuffar)
P122279,Nippur (mod. Nuffar)
P122280,Nippur (mod. Nuffar)
P122281,Nippur (mod. Nuffar)
P122282,Nippur (mod. Nuffar)
P122283,Nippur (mod. Nuffar)
P122284,Nippur (mod. Nuffar)
P122285,Nippur (mod. Nuffar)
P122287,Nippur (mod. Nuffar)
P122288,Nippur (mod. Nuffar)
P122289,Nippur (mod. Nuffar)
P122290,Nippur (mod. Nuffar)
P122291,Nippur (mod. Nuffar)
P122292,Nippur (mod. Nuffar)
P122293,Nippur (mod. Nuffar)
P122294,Nippur (mod. Nuffar)
P122295,Nippur (mod. Nuffar)
P122296,Nippur (mod. Nuffar)
P122297,Nippur (mod. Nuffar)
P122298,Nippur (mod. Nuffar)
P122299,Nippur (mod. Nuffar)
P122300,Nippur (mod. Nuffar)
P122301,Nippur (mod. Nuffar)
P122302,Nippur (mod. Nuffar)
P122303,Nippur (mod. Nuffar)
P122304,Nippur (mod. Nuffar)
P122305,Nippur (mod. Nuffar)
P122306,Nippur (mod. Nuffar)
P122307,Nippur (mod. Nuffar)
P122308,Nippur (mod. Nuffar)
P122309,Nippur (mod. Nuffar)
P122311,Nippur (mod. Nuffar)
P122312,Nippur (mod. Nuffar)
P122313,Nippur (mod. Nuffar)
P122314,Nippur (mod. Nuffar)
P122315,Nippur (mod. Nuffar)
P122316,Nippur (mod. Nuffar)
P122317,Nippur (mod. Nuffar)
P122318,Nippur (mod. Nuffar)
P122320,Nippur (mod. Nuffar)
P122321,Nippur (mod. Nuffar)
P122322,Nippur (mod. Nuffar)
P122323,Nippur (mod. Nuffar)
P122324,Nippur (mod. Nuffar)
P122325,Nippur (mod. Nuffar)
P122326,Nippur (mod. Nuffar)
P122327,Nippur (mod. Nuffar)
P122328,Nippur (mod. Nuffar)
P122329,Nippur (mod. Nuffar)
P122330,Nippur (mod. Nuffar)
P122331,Nippur (mod. Nuffar)
P122332,Nippur (mod. Nuffar)
P122333,Nippur (mod. Nuffar)
P122334,Nippur (mod. Nuffar)
P122335,Nippur (mod. Nuffar)
P122336,Nippur (mod. Nuffar)
P122337,Nippur (mod. Nuffar)
P122338,Nippur (mod. Nuffar)
P122339,Nippur (mod. Nuffar)
P122340,Nippur (mod. Nuffar)
P122341,Nippur (mod. Nuffar)
P122342,Nippur (mod. Nuffar)
P122343,Nippur (mod. Nuffar)
P122344,Nippur (mod. Nuffar)
